,statement,condition
64," The COVID-19 vaccine caused Ashton Kutcher to lose “vision, hearing, and ability to walk.”",FALSE
65," Every day our famous people die, you all know why, two doses, three doses, you keep quiet and wait your turn…how useless, nasty…",FALSE
66, Video of the director of the WHO in which he says that he has not been vaccinated for COVID-19.,FALSE
67," The post claims that disc herniation is a new symptom of the coronavirus, so if the patient has back pain, even though they have a negative test for corona, it still means that they are infected with the virus.",FALSE
68, A Chinese expert says that monkeypox is a consequence of covid vaccines. A one-minute video is also shared in the post.,FALSE
69, Interpol has arrested the director of the WHO.,FALSE
70, Three Canadian doctors have died suddenly from the COVID-19 vaccine.,FALSE
71, Three Canadian doctors died from COVID-19 booster shots.,FALSE
72," “Three doctors from the same hospital ‘die suddenly’ in the same week,” after the hospital mandated a fourth COVID-19 vaccine for employees.",FALSE
73, Three Canadian doctors died from COVID-19 booster shots.,FALSE
74," In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”",FALSE
75," Again the return of masks, again the virus, again news with the dead and cured. Who do you think all these suits? Why? Maybe a future generation will give us the answer, in any case, this is a biological world war. I have no doubts that the virus is produced in laboratories and that it spreads artificially.",FALSE
76, Lancet’s study showed that vaccinated people have lower immune function than unvaccinated people; COVID-19 vaccines suppress the immune system.,FALSE
77, Dr. Birx “changes tune on” COVID-19 vaccines and “admits vaccines don’t work.”,FALSE
78, “‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.”,FALSE
79, Jane Goodall’s comments about population growth at World Economic Forum show COVID-19 pandemic was planned.,FALSE
80, Trump has published a statement wishing Biden a speedy recovery and mocking him after his positive for COVID-19.,FALSE
81, George Floyd and COVID-19 “never existed.”,FALSE
82, “Jill Biden makes stunning admission after” President Joe Biden tested positive for COVID-19.,FALSE
83, Canadian data shows vaccinated people more likely to die from COVID-19; COVID-19 vaccines alter our DNA.,FALSE
84, Covid-19 vaccines cause miscarriage.,FALSE
85, It is not true that the world media is not talking about Covid-19.,FALSE
86," Shinzo Abe was assassinated because he “didn’t mandate vaccines, sent 1.6 million doses back, and gave citizens ivermectin.”",FALSE
87," 2019, UN 5G is electromagnetic radiation that can cause Covid. 237 scientists from 41 countries warned the WHO about this.",FALSE
88," In 2015 Bill Gates declared, due to global warming, the world population should be reduced by 10-15% with the use of a vaccine In 2020 Bill Gates declared that 7 billion people should be vaccinated. In 2021/2022 the question is – why should we receive a vaccine from someone who wants to reduce the world population?",FALSE
89," The World Health Council, which represents 70 bodies, has called for an immediate halt to all vaccines because of the huge number of vaccine deaths, 40,000 (from the four largest vaccine outcome databases). Totally unacceptable. The standard until now has been 50 deaths – it is immediately withdrawn from the market. Will the lying media tell us?",FALSE
90, The new mutations of the coronavirus are a plan to legally kill people.,FALSE
91," 38,983 deaths and 3,530,362 injuries have occurred after COVID-19 vaccines, according to Eudravigilance.",FALSE
92," A WHO study concluded that the risk of serious injury from Covid with the vaccination was 339 percent higher than the risk of hospitalization with Covid 19. Combined, mRNA vaccines were associated with an absolute increase in serious adverse events. Recipients of mRNA injections were, and are, on average 187 percent more likely to suffer a serious adverse event than to be hospitalized with Covid-19.",MISSING CONTEXT
93, There is no evidence that this video shows vaccine deaths in Dusseldorf,FALSE
94, “Covid Vaccines More Likely to Put You in Hospital Than Keep You Out”,FALSE
95, Pfizer publicly acknowledges for the first time that its vaccine seriously harms semen.,FALSE
96, Bayer executive said mRNA vaccines are gene therapy.,FALSE
97, Bayer executive said mRNA vaccines are gene therapy.,FALSE
98," According to International Olympic Committee data, “an average of 29 athletes under the age of 35 suffered sudden death per year from 1966 to 2004. From March 2021 to March 2022, 769 athletes have died or suffered cardiac arrest.”",FALSE
99, Sudden death in adults linked to Covid-19 vaccine,FALSE
100, COVID-19 vaccines induce AIDS.,FALSE
101, The new Novavax bioweapon will deliver moth DNA into the human genome and poison from tree bark.,FALSE
102, Pfizer has announced a vaccine against monkeypox.,FALSE
103, Monkeypox is a made-up disease derived from the COVID-19 vaccine.,FALSE
104, Justin Bieber’s facial paralysis was caused by the COVID-19 vaccines.,FALSE
105, Justin Bieber’s facial paralysis and his wife Hailey’s stroke were caused by the COVID-19 vaccines.,FALSE
106, Justin Bieber’s facial paralysis and his wife Hailey’s stroke were caused by the COVID-19 vaccines.,FALSE
107, The WHO changed the definition of a pandemic just before the start of COVID-19.,FALSE
108, “Young people are dropping dead” from Sudden Arrhythmic Death Syndrome after COVID-19 vaccines were introduced.,
109, “Young people are dropping dead” from Sudden Arrhythmic Death Syndrome after COVID-19 vaccines were introduced.,NO EVIDENCE
110, COVID-19 vaccination is associated with the sudden death of young adults.,NO EVIDENCE
111, “Young people are dropping dead” from Sudden Arrhythmic Death Syndrome after COVID-19 vaccines were introduced.,NO EVIDENCE
112, It is not true that CNN has admitted that vaccines have a bad effect on people’s immunity,FALSE
113, The CEO of Pfizer has said that the pharmaceutical company wants to reduce the world population by 50%.,FALSE
114, The Covid-19 vaccine caused marathon runners to collapse and one to die,FALSE
115, There’s a “global baby die off” related to vaccinated mothers.,FALSE
116, Pfizer documents reveal that 90% of pregnant women lost their babies after getting vaccinated against COVID-19.,FALSE
117, The chimpanzee adenovirus used in AstraZeneca’s COVID-19 vaccine is related to monkeypox.,FALSE
118, Ray Liotta died because of the COVID-19 vaccine.,FALSE
119, Skin vesicles caused by monkeypox are a side effect of COVID-19 vaccines.,FALSE
120, Monkeypox virus is transmitted through COVID-19 vaccines.,FALSE
121," “[Spike] is harmful to the human body in at least eight different ways [and] can persist in the human body for weeks, or even months, after a person gets vaccinated.”",MISLEADING
122, Monkeypox is caused by the COVID-19 vaccines.,FALSE
123, “Swedish health authorities considering introducing restrictions because of monkeypox outbreak.”,FALSE
124, Pfizer CEO confirmed in video that microchips were used in COVID-19 vaccines.,FALSE
125," They passed the flu off as COVID-19, and “they’re going to do the same thing with monkeypox and shingles.”",FALSE
126, Pfizer’s CEO confirmed in the video that microchips were used in COVID-19 vaccines.,FALSE
127, “Mask Mandates [are] Associated With Increased Covid Death Rate.”,FALSE
128, Event 201 is evidence that officials already knew about COVID-19.,NO EVIDENCE
129, There’s a “‘positive correlation’ between higher mask usage and COVID-19 deaths.”,FALSE
130, Democrats introduce bill to put Americans in quarantine camps.”,FALSE
131, “(Pfizer) says do not breastfeed. Baby formula shortages are everywhere. Gates promotes brand new artificial breast milk technology. All within less than a 2 week period. …Nothing to see here.”,FALSE
132, “Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,FALSE
133, Dr. Anthony Fauci “killed a lot of people” by funding the lab in Wuhan.,FALSE
134, Dr. Anthony Fauci “killed a lot of people” by funding the lab in Wuhan.,FALSE
135," MANDATORY VACCINES IN THE EU. Of course, we knew that this would happen ..! The European Council amended Resolution 2361 and no longer opposes compulsory vaccination. From 1 July 2022, the EU published the legislation for the mandatory EU COVID 19 passport …..",FALSE
136, Says Fox News and Candace Owens tweeted that “New studies show that 68% of those who used ivermectin to treat or prevent the Covid are suffering long-term bowel and urinary incontinence.”,FALSE
137, “When President Biden took office … there was no vaccine available.”,FALSE
138, “Athletes are collapsing on playing fields as for myocarditis and it’s from the vaccines”; Moderna patent filed in 2019 is linked to the pandemic.,MISLEADING
139," Healthy children through lethal vaccines get sick by severe hepatitis, which can not be treated except by liver transplantation. Are there cases of vaccinated children with hepatitis X in Macedonia? They say no, and how many children have been vaccinated in our country?",FALSE
140," Video from Pfizer’s boss, Burla, 59, healthy and at his age, it is not advisable to receive the vaccine, as he says. And in the picture is an excerpt from a newspaper where hundreds of CDC employees did not receive the vaccine.",FALSE
141, Pfizer has published a study suggesting that its COVID-19 vaccine is to blame for cases of hepatitis of unknown origin.,FALSE
142, “The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,FALSE
143," The amendments proposed by the Biden administration to existing global health regulations, and a new WHO pandemic treaty, will threaten U.S. sovereignty.",FALSE
144," The amendments proposed by the Biden administration to existing global health regulations, and a new WHO pandemic treaty, will threaten U.S. sovereignty.",FALSE
145, National Institutes of Health and many of its scientists received an estimated $350 million in royalties for developing experimental treatments.,MISSING CONTEXT
146," mRNA COVID-19 vaccines accumulate in the ovaries, change menstrual cycles, and lead the immune system to mount “an immune response to their own placental protein.”",FALSE
147, COVID-19 Vaccines Increase Risk of Cardiac Arrest in Young People by 25 Percent,MISLEADING
148, COVID-19 Vaccines Increase Risk of Cardiac Arrest in Young People by 25 Percent,MISLEADING
149, Denmark became the first country to suspend its coronavirus vaccination program.,FALSE
150," Video proof. 5G radiation is death.  You are dead in the hospital. They will kill you. Here … people understood. Doctors say radiation builds up in the chest, which is fatal to the patient.",FALSE
151, COVID-19 vaccines cause fibrous clots in the lungs.,FALSE
152, Covid-19 vaccines contain so-called “cancer-inducing” ingredients or substances that stimulate cancer in the body.,FALSE
153, The SARS-CoV-2 virus was engineered in a laboratory and deliberately released.,NO EVIDENCE
154, The acute epidemic of hepatitis in children! The WHO has not answered whether this is because of the vaccine.,FALSE
155," All vaccinated are part of a global experiment. Some got sick, some became disabled, some died, and some are yet to get sick or die. Their problem, so you signed an agreement to be a global experimental mouse.",FALSE
156, “mRNA Vaccines Show No Mortality Benefit – Danish Study”,FALSE
157, The CGG CGG coding in the SARS-CoV-2 genome “does not appear in nature.”,FALSE
158, Cases of acute hepatitis in children are linked to COVID-19 vaccines.,FALSE
159, The mRNA anti-COVID vaccine could be included in your salad and vegetables.,FALSE
160, COVID-19 vaccination is behind unexplained cases of pediatric hepatitis.,NO EVIDENCE
161, Hepatitis outbreaks in kids may be related to Johnson & Johnson COVID-19 vaccine.,FALSE
162, The Red Cross does not accept blood donations from people who have received COVID-19 vaccine.,FALSE
163, COVID-19 vaccine may be to blame for UK childhood hepatitis cases.,FALSE
164, Dr. Anthony Fauci said lockdowns are a method for coercing people to comply with COVID-19 vaccinations.,FALSE
165, The Australian Technical Advisory Group on Immunisation advised that the COVID-19 vaccine may be given to patients under sedation for unrelated procedures without consent as a way to force compliance.,FALSE
166, “Pfizer Knew About Immunosuppression”; “Fully Vaxxed Are More Likely to Die From COVID”,FALSE
167, Gilbert Gottfried died from the COVID-19 vaccine.,FALSE
168," COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines, and drinking water to “make you a hybrid of Satan.”",FALSE
169, The COVID-19 pandemic has actually been a plot to poison people with snake venom.,FALSE
170, The COVID-19 vaccines contain “HIV lipid wrappers.”,FALSE
171, Unvaccinated people aren’t dying and “experience zero or mild symptoms” from COVID-19.,MISLEADING
172, Unvaccinated people aren’t dying and “experience zero or mild symptoms” from COVID-19.,MISLEADING
173," “We have 21,000 cases of myocarditis and climbing […] Under no circumstances, should a young person ever receive one of these vaccines.”",FALSE
174, Suggests ivermectin is an effective treatment for COVID-19,FALSE
175, Fauci’s remarks in a 2004 interview about natural immunity for the flu mean that natural immunity is the ideal choice for the COVID-19.,MISLEADING
176, Pfizer paid a “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,FALSE
177, 2004 video shows Anthony Fauci is ignoring science on natural immunity with regard to COVID-19.,FALSE
178, The vaccine harmed Nadal.,FALSE
179, “Remdesivir is proven to kill lives.”,FALSE
180, “Remdesivir is proven to kill lives.”,FALSE
181, COVID-19 drug remdesivir is “killing people.”,NO EVIDENCE
182," With the third dose, cancer cases have risen by 5,000%",FALSE
183, WHO wants to take control over the health systems of all countries.,FALSE
184, WHO chose Brazil as one of the three best countries fighting against COVID-19.,FALSE
185, “We are allowing human organisms to become bioweapon factories” due to the COVID-19 mRNA vaccines.,FALSE
186, “CDC is no longer releasing data comparing vaccinated vs unvaccinated deaths & hospitalizations.”,FALSE
187, “CDC is no longer releasing data comparing vaccinated vs unvaccinated deaths & hospitalizations.”,FALSE
188, Foo Fighters drummer Taylor Hawkins died from a COVID-19 vaccine.,FALSE
189, Vaccination can be detected with Bluetooth.,FALSE
190, RNA vaccines are a kind of gene therapy that can cause hypercoagulation and anticipates death.,FALSE
191," Reporting adverse effects of COVID-19 vaccines to VAERS has not been mandatory, and data is not available.",FALSE
192, The U.S. has warned Pfizer vaccine is dangerous and causes deaths.,FALSE
193, Queen Elizabeth of England took ivermectin as a treatment for her case of COVID-19.,FALSE
194, Ukraine requires mandatory vaccination for citizens applying for war compensation.,FALSE
195, Joe Biden’s announcement that the Justice Department will name a chief prosecutor for pandemic fraud means “the government is going to investigate itself.”,FALSE
196, Natural immunity protects better than vaccination; “the mortality risk of an un-boosted person under age 30 was zero”; cloth face masks and school closures had zero benefits for children and some harm.,MISLEADING
197, 20-years-old boy died in São Paulo state due to vaccination.,MISLEADING
198, Pfizer paid a US$ 2.8 million bribe to the FDA to get its COVID-19 vaccine approved.,FALSE
199, Pfizer paid FDA to have its vaccine approved.,MISLEADING
200, “Documents were published confirming Moderna created the COVID-19 Virus.”,FALSE
201, Pfizer vaccine has 1291 side effects.,FALSE
202," Germany, Spain, China, and Russia stopped vaccinating their population.",MISLEADING
203, Reject vaccines for your children and babies. At any cost.,FALSE
204, Bat Coronavirus Experiments Conducted in Ukrainian Biolabs,FALSE
205," Covid vaccines were not developed because of the pandemic. Instead, the pandemic was created because of covid vaccines.",FALSE
206, Covid-19 does not exist anymore!,FALSE
207," “People who have had cancer in the past, they get the COVID jab and now, they’re getting cancer two to three, four months later and it’s the same cancer they had except much worse.”",FALSE
208, Vaccinated people in the UK are 9 out of 10 deaths from the COVID-19.,MISLEADING
209, Children get sick because they are forced to wear masks.,FALSE
210, “You’re about 70 percent less likely to die if you take ivermectin compared to taking remdesivir” for COVID-19.,MISLEADING
211, Children get sick because they are forced to wear masks.,FALSE
212, Safety surveillance data in Pfizer’s document shows harmful effects of the Pfizer-BioNTech COVID-19 vaccine.,MISLEADING
213, Dr. Anthony Fauci has not spoken or appeared publicly for several weeks.,FALSE
214, “Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”,FALSE
215, CDC Director Dr. Rochelle Walensky said she gets COVID-19 reports from CNN.,FALSE
216," It is false that the coronavirus vaccine “does not work” because in the end, you will catch COVID-19, as “Kun” Agüero stated.",FALSE
217, Dr. Fauci has disappeared from public view.,MISSING CONTEXT
218, Vaccinated people are more vulnerable to the COVID-19.,MISLEADING
219, A 12-years-old died due to vaccination against the COVID-19.,MISLEADING
220, The vaccines are gene therapy and are still experimental.,FALSE
221, Photos of Brazilian senator Randolfe Rodrigues enjoying carnival without masks.,FALSE
222, CDC approved medicines such as ivermectin and hydroxychloroquine for COVID-19.,MISLEADING
223, Wearing masks is “COVID theater” and “not doing anything.”,FALSE
224, The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events” listed in a confidential report.,FALSE
225," Lund University study shows that the COVID-19 vaccine mRNA enters our cell’s nucleus and changes into DNA, which is something health experts and fact-checkers said could not occur.",FALSE
226, The “5G radiation syndrome” is enhanced in people who have graphene oxide in their bodies from the vaccine.,FALSE
227, Covid-19 vaccines contain HIV.,FALSE
228, The video does not show people who died due to Covid-19 and images are fiction.,FALSE
229, Canadian Prime Minister Justin Trudeau and wife Sophie faked their COVID-19 vaccination on live television.,FALSE
230, A new HIV variant has emerged and is caused by the Covid-19 vaccines.,FALSE
231, “More evidence Covid was tinkered within a lab? Now scientists find virus contains a tiny chunk of DNA that matches the sequence patented by Moderna THREE YEARS before the pandemic began.”,MISLEADING
232, Queen Elizabeth II treats COVID-19 with ivermectin.,FALSE
233," “if the SARS-COV-2 genetic code has not been sequenced, how could the vaccine be produced?”",FALSE
234, The Sinovac vaccine caused the death of a 10-year-old boy.,FALSE
235, The artificial Spike protein created by mRNA vaccines cause blood clots.,FALSE
236, Tennis player Stefan Kozlov collapsed due to the COVID-19 vaccine at the Acapulco tournament.,FALSE
237, CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on COVID-19 mortality in the U.S.”,FALSE
238, He was killed because Kary Mullis said the PCR test cannot diagnose diseases.,FALSE
239, US Armed Forces arrested judge Sonia Sotomayor for receiving bribes from pharmaceutical companies.,FALSE
240, COVID-19 vaccines increase the risk of HIV infection.,FALSE
241, Queen Elizabeth II is taking ivermectin against the COVID-19.,MISLEADING
242, CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on COVID-19 mortality in the U.S.”,FALSE
243, The CDC “lowered the bar” for developmental milestones instead of acknowledging the effects of COVID-19 restrictions in children.,MISLEADING
244, Australia withdrew 50 million vaccines from circulation for testing positive for HIV.,FALSE
245, “News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,FALSE
246, It is false that Australia withdrew 50 million vaccines from circulation for testing positive for HIV.,FALSE
247, The Australian TV station says Queen Elizabeth is taking ivermectin.,FALSE
248, Ultraviolet light predicts the result of coronavirus antigen tests.,FALSE
249, Video shows that Sûreté du Québec officers “removed their identifying names and badge numbers from their uniforms in Ottawa.”,FALSE
250, The cover of Time magazine with an armed soldier of the World Health Organization.,FALSE
251, A 9-year-old girl died of vaccine side effects in Alagoas state.,FALSE
252, No children have been hospitalized in Brazil for the COVID-19.,FALSE
253, Australia has withdrawn 50 million doses of COVID-19 vaccines due to false positives in the AIDS test.,FALSE
254, The Centers for Disease Control and Prevention has amassed the “largest collection of human data in history” through COVID-19 PCR tests.,FALSE
255, 8 years-old boy died in England because of the COVID-19 vaccine.,MISLEADING
256," Argentina’s National Food, Drug and Medical Devices Administration admitted that its Covid-19 vaccines contain graphene.",FALSE
257, Facemasks cause incurable neurodegenerative diseases.,FALSE
258, Australia has withdrawn 50 million doses of COVID-19 vaccines due to false positives in the AIDS test.,FALSE
259, The Rotschilds issued a patent for the COVID-19 in 2015.,FALSE
260, The blood of a person vaccinated against COVID-19 coagulates faster.,FALSE
261," “Over-vaccination causes faster mutation of the (COVID-19) virus, which causes a super virus we may not have the ability to fight off.”",FALSE
262," Says that President Joe Biden said Americans will start seeing “direct deposits in their bank accounts this weekend” and that Medicare recipients will get back $2,880.",FALSE
263, The news team simulates deaths from COVID-19 in order to say there are more people dying than really is.,FALSE
264, Luc Montagnier’s death is linked to his “exposing” that there’s HIV in the COVID-19 vaccine.,FALSE
265, Johns Hopkins University said that lockdowns are ineffective to stop the spread of COVID-19.,MISLEADING
266, Anticovid vaccines increase the risk of HIV infection.,FALSE
267, The Japanese Red Cross has refused to donate blood from people who have had the Covid-19 vaccine.,FALSE
268," A journalist called the governor of Bahia, Rui Costa, a “dirty pidgeon” after he recommended children should be vaccinated, “but not his daughters.”",FALSE
269, Pharmacology professor says vaccines are an experiment.,FALSE
270," On February 5, the Second Nuremberg Trials began.",FALSE
271," The PCR test gives a positive result due to viruses such as influenza, influenza, SARS, and MERS.",FALSE
272, Health problems in the military skyrocketed after the COVID-19 vaccination.,NO EVIDENCE
273, Ivermectin is effective against the Omicron variant.,FALSE
274," You can be vaccinated with a PCR test, even without knowing.”",FALSE
275, Pharmacology professor says vaccines are an experiment.,FALSE
276, The US stopped tracking deaths due to COVID-19 infection.,PARTLY FALSE
277, Says the FDA said that Pfizer “falsely misled” the agency about the safety of the COVID-19 vaccines and that the shots are killing more people than they save.,FALSE
278," If you conceive a baby within 28 days after getting vaccinated against the COVID-19, the baby will have malformations as a result of genetic manipulation.",FALSE
279," Elder Elpidius of the Orthodox Church made several claims, including that “humans have been turned into animals and that they have been given a number to be turned into cattle by vaccination.”",FALSE
280, The Covid-19 vaccine spreads a virus.,FALSE
281," The more vaccinated, the more income from funerals. That’s the only motivation for the priestly vaccination call.",FALSE
282, The CDC was “normalizing blood clots” by tweeting about the health condition before the Super Bowl.,FALSE
283," A 15-year-old boy died because she was vaccinated in João Pessoa, Brazil.",FALSE
284," Klaus Schwab, from the World Economic Forum, said he has politicians, the media and scientist in his pocket.",FALSE
285, Video of a demonstration of truck drivers in Italy against measures to curb the coronavirus pandemic.,FALSE
286, Vaccines contain “staggering impurities.”,FALSE
287," A 15-year-old boy died because she was vaccinated in João Pessoa, Brazil.",FALSE
288, Military database suggests there was an increase in diseases among military men after the COVID-19 vaccination.,FALSE
289," A study from Johns Hopkins on natural immunity to COVID-19 demonstrates that infection provides better protection than vaccination, challenging official vaccine recommendations for previously infected people.",MISSING CONTEXT
290," The World Health Council demanded the immediately suspension of COVID-19 vaccination in the whole world and the International Court for Common Law sued the Pfizer’s president, Albert Bourla, for crimes against the humanity.",MISLEADING
291, A German TV channel showed an alleged victim of COVID-19’s body moving.,FALSE
292," The governor of Bahia state, Rui Costa, is going to import untested vaccines to apply in the local population.",FALSE
293, A Bayer pharmaceutical executive admitted that messenger RNA vaccines are cell and gene therapies.,FALSE
294, Vaccines contain “poison – graphene oxide and microtechnology.”,FALSE
295, Breast milk is a very good substitute for COVID-19 vaccines.,FALSE
296, Pfizer vaccine causes blood clots.,FALSE
297, Johns Hopkins University has developed a technology that vaccinates people using PCR tests.,FALSE
298, CDC registered 12 thousand deaths related to vaccinations.,FALSE
299," Photos of a politician posing after his first and second Covid-19 vaccine doses were in fact taken on the same day, accusing him of lying about being double-jabbed.",FALSE
300, CDC registered 12 thousand deaths related to vaccinations.,FALSE
301, The COVID-19 vaccine “destroys the subject’s natural immune system”; the HIV VB variant is a “cover up.”,FALSE
