,statement,source,t/f status
26,Henry Kissinger’s “deathbed confession” shows “Adolf Hitler was buried in Spain” and lived to age 68.,Instagram posts,pants-fire
27,The border wall and the ‘Remain in Mexico’ policy “reduced illegal immigration by 90%.”,Mike Pence,false
28,“Only about 20%” of people who apply for asylum qualify for it.,Jeh Johnson,false
29,The 2021 infrastructure bill requires all new vehicles to have kill switches that will stop vehicle operation and alert law enforcement when drivers are impaired.,Instagram posts,barely-true
30,Hitler “didn’t kill 6 million Jews” and “the Holocaust is not what happened.”,Kanye West,pants-fire
31,“Wisconsin elementary school students buck national trends in ‘National Report Card’ release.”,Jill Underly,barely-true
32,“They removed your ability to go buy firearms the day of election.”,Instagram posts,false
33,"“There may be a new pandemic on the way after the release of a 50,000-year-old zombie virus.”",Instagram posts,false
34,Arizona midterm election was unlawful because the lab used to certify voting machines was not accredited.,Instagram posts,false
35,"“When you compare us to the European Union, we're something like 23 times more likely” to have homicides and handgun killings.",Cliff Hayes,mostly-true
36,“An overwhelming majority of Wisconsinites support restoring #Roe and legalizing marijuana.”,Tony Evers,mostly-true
37,“60% of counties in this country are refusing to implement the nation's gun laws.”,Chris Murphy,half-true
38,Rod Rosenstein and John Podesta are the sons of Nazi leaders.,Instagram posts,pants-fire
39,Video confirms Pfizer’s CEO is “reptilian.”,Viral image,pants-fire
40,"Herschel Walker “is heavily funded by the oil and gas industry, raking in more than $140,000 in donations from Big Oil and other energy interests.""",League of Conservation Voters,half-true
41,"“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",Robin Vos,barely-true
42,"""I think President Trump came out four times and condemned” Nick Fuentes.",Kevin McCarthy,false
43,Country singer Jake Flint died because of the COVID-19 vaccine.,Instagram posts,false
44,Suggests virologist’s death is linked to COVID-19 vaccines.,Instagram posts,false
45,No NASA Challenger rocket blew up with people on it.,Instagram posts,pants-fire
46,“Disney pushes ‘We love Satan’ in new family Christmas movie.”,Viral image,false
47,Elon Musk said he’s buying Snapchat.,Viral image,false
48,“Gas prices are down back to where they were before Russia invaded Ukraine.”,Joe Biden,true
49,"“Maricopa County announced that on Election Day over 540,000 voters visited one of the 223” vote centers, but final official results data claimed that “only 248,070 people voted.”",Instagram posts,false
50,"“(Raphael) Warnock’s camp was shut down for failing to report five findings of child abuse and neglect.""",Herschel Walker,half-true
51,“Saudi team gets $460K Rolls-Royces for upset win.”,Viral image,false
52,Climate change is “dictated by solar activity and the moon” and has “nothing to do with mankind.”,Instagram posts,false
53,"Qatar refused “to receive the German national team’s plane, which bears the gay logo, which forced them to return the plane to the airport of the Sultanate of Oman.”",Instagram posts,false
54,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",Instagram posts,false
55,The Biden administration is deporting Cubans “because Cubans by and large are conservatives.”,Instagram posts,false
56,"Suggests ""108 FIFA registered players/coaches have died"" because of COVID-19 vaccines.",Instagram posts,false
57,The College of Physicians and Surgeons of Ontario suggested “that ‘unvaccinated’ people are mentally ill and in need of psychiatric medication.”,TikTok posts,false
58,“Joe Biden is being investigated for human trafficking and is guilty.”,Instagram posts,false
59,Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Raphael Warnock,mostly-true
60,John Kerry at COP27 climate summit spoke about wanting to “wipe out the middle class … get you under the central banking digital currency system.”,Instagram posts,false
61,The Club Q shooting was a “false flag.”,Tweets,pants-fire
62,Trump tweeted about his return to Twitter on Nov. 19.,Instagram posts,pants-fire
63,Video shows Arizona ballots “break chain of custody in Arizona.”,Instagram posts,false
64,The Arizona gubernatorial race was a “fraudulent election.”,Instagram posts,pants-fire
65,“Bill Gates tells G20 world leaders that ‘death panels’ will soon be required.”,Viral image,pants-fire
66,Sunny Hostin of “The View” admitted to voter fraud.,Viral image,false
67,Increases in respiratory syncytial virus in children are linked to the COVID-19 vaccine.,Instagram posts,false
68,"Ballots recovered from a Santa Clara County, California, ravine are evidence of “how the left cheats to win.”",Viral image,false
69,A fake Nancy Pelosi said she won’t seek the speaker position again because the real Pelosi was arrested in 2021.,Instagram posts,pants-fire
70,The World Health Organization director general confirmed “some countries are using boosters to kill children.”,Viral image,false
71,The number of followers Katie Hobbs and Kari Lake have on Instagram suggests election fraud.,Viral image,pants-fire
72,Video is evidence of a recent increase in robberies in Spain by “migrants from the Middle East and Africa.”,Instagram posts,false
73,"""They say the ocean will rise one-eighth of an inch over the next 200 to 300 years.""",Donald Trump,pants-fire
74,Photo shows “ballots not counted in California and this is only one polling location. Yet Gavin Newsom was declared governor minutes after polling stations closed.”,Viral image,barely-true
75,Bags arriving at the Maricopa County vote counting site are evidence of “Democrats with the help of the media and GOP establishment stealing another election.”,Instagram posts,pants-fire
76,"President Joe Biden said, “I know you all know there’s no climate problem,” proving that people have been “lying for decades” about climate change.",Instagram posts,false
77,“Republicans want to raise the voting to age 28.”,Sunny Hostin,false
78,“European royals killing naked children for fun at hunting parties.”,Viral image,pants-fire
79,Photo shows Jeff Bezos’s clone.,Viral image,pants-fire
80,"Raphael Warnock ""believes in no cash bail"" and ""letting people out of prison that are going to make us prisoners in our own home.""",Herschel Walker,barely-true
81,“Biden ‘child porn’ shock” headline was “front page news in Australia.”,Viral image,false
82,“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”,Viral image,pants-fire
83,It’s proof of “voter fraud” that it takes some states days to count 2 million votes while Florida results were available on election night.,Instagram posts,false
84,A livestream failing in Nevada is “one of the ways blue states steal elections.”,Instagram posts,false
85,Footage shows Dallas pollbooks fraudulently “adding hundreds of voters in real time as the poll was being closed.”,Instagram posts,false
86,“The CEO of FTX is the daughter of the chairman of the SEC.”,Viral image,false
87,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",Instagram posts,pants-fire
88,Split election results show the Arizona governor’s race was rigged.,Instagram posts,pants-fire
89,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,Instagram posts,false
90,"“Iran sentences 15,000 protesters to death.”",Instagram posts,false
91,Amazon’s Alexa confirms Michelle Obama “was born Michael LaVaughn Robinson.”,Viral image,pants-fire
92,"No, the Pennsylvania Senate race wasn’t ‘rigged’",Viral image,pants-fire
93,The death of a 4-year-old who appeared in vaccination campaign posters is linked to vaccines.,Instagram posts,false
94,"“We waited 24 hours and got a measly 62k votes"" in Maricopa County",Mark Finchem,false
95,"Maggie Hassan won “1,100 votes from town with population under 700.”",Viral image,false
96,"In the 2018 Florida governor's race ""votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen.""",Donald Trump,pants-fire
97,A New York election results map is evidence of fraud.,Viral image,false
98,"Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”",Donald Trump,pants-fire
99,“Many elections in Bexar are being called with 0% of precincts reporting! I smell MAJOR FRAUD!”,Instagram posts,false
100,Democrats used “47 million mail-in ballots” to steal “every election in the country.”,Instagram posts,pants-fire
101,Video shows a Philadelphia poll worker committing election fraud.,Viral image,pants-fire
102,"When 36% of the vote was in, Pennsylvania gubernatorial candidate Josh Shapiro had 370,706 votes and 56.6% of the vote while Doug Mastriano had 844,669 and 41.6%.",Viral image,false
103,Image shows Arizona gubernatorial candidate and Secretary of State Katie Hobbs in the room where ballots were being counted in Maricopa County.,Viral image,false
104,Photos shows 2022 “midterm ballots in trash.”,Viral image,pants-fire
105,"""If Arizona were a country, it’d be the eighth largest incarcerator in the world.""",Julie Gunnigle,mostly-true
106,"Glitches with voting in Arizona, New Jersey and Texas are proof the election is rigged.",Instagram posts,false
107,"In his election as governor, “We won cities that no Republican had ever won.”",Glenn Youngkin,false
108,Photo shows “late-night operatives moving van-loads of suspicious ballots way after legal deadline in Detroit.”,Viral image,false
109,The number of followers John Fetterman and Mehmet Oz have on Instagram proves the Pennsylvania Senate race was illegitimate.,Instagram posts,pants-fire
110,A “dead man on the ballot” is evidence the Democrats cheated in the election.,Instagram posts,false
111,Graph shows Gretchen Whitmer stole the Michigan gubernatorial election.,Instagram posts,pants-fire
112,Map proves the Pennsylvania Senate election was rigged.,Instagram posts,pants-fire
113,A video shows a whistleblower creating fraudulent military ballots during the 2020 presidential election.,Instagram posts,false
114,‘No Sharpies on ballots’ permitted for in-person voting in Illinois.,Instagram posts,false
115,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”,Joe Manchin,true
116,The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”,Instagram posts,pants-fire
117,Video shows a faulty New York voting machine invalidated a GOP vote in governor’s race.,Facebook posts,false
118,“Minnesota was stolen from Scott Jensen.”,Instagram posts,pants-fire
119,"It’s a sign of fraud that “in 244 counties across the United States, there are more registered voters than there are people legally eligible to vote.”",Instagram posts,false
120,USA Today reported that “5 children have gone missing inside a Chuck E. Cheese.”,Viral image,pants-fire
121,“Maricopa County intentionally reduced the polling places.”,Charlie Kirk,pants-fire
122,“Pennsylvania judge allows ballots to count that are received up until November 14th.”,Viral image,pants-fire
123,"“Electronic voting machines didn't allow people to vote” in Maricopa County, Arizona.",Tucker Carlson,false
124,John Fetterman “is suing for the right to cheat and steal the election.”,Instagram posts,false
125,"In Detroit, “people are showing up to vote only to be told, ‘sorry, you have already voted.’”",Donald Trump,false
126,Image shows that the New Mexico secretary of state counted more than 17 million registered voters in a state with a population of about 2 million.,Instagram posts,false
127,“Kari Lake is opposed to red flag laws.”,Everytown for Gun Safety,true
128,"The COVID-19 vaccine for children is proving to be “not only ineffective, it’s also proving to be dangerous.”",Kari Lake,false
129,A Twitter employee was laid off after receiving a meme.,Instagram posts,pants-fire
130,"“There is no chain of custody” for ballots placed in Box No. 3 at Maricopa, Arizona, polling sites.",Tweets,false
131,Video suggests GOP voters denied access in general election.,Instagram posts,false
132,A wax figure of Ye was removed from Madame Tussauds museum but a figure of Adolf Hitler remained.,Instagram posts,false
133,Delayed election results are proof of fraud.,Instagram posts,false
134,Suggests that “since mostly Democrats vote early” then that represents “made-up ballots or dead people voting.”,Instagram posts,false
135,"""They’re trying to rig the election again! Do not trust the Soros funded voting machines!!!”",Instagram posts,false
136,"""Joe Biden and the New Left even promote surgery on teens and young adults, removing breasts and genitals.""",America First Legal,false
137,A German survey ranked Kyrie Irving as the “greatest threat to world peace” among world leaders.,Viral image,pants-fire
138,"“Ted Budd voted to cut Medicare and Social Security and voted to raise the retirement age, too.”",Senate Majority PAC,half-true
139,"In Georgia, it's ""illegal to give people water within 150 feet of a polling place"" and ""punishable by up to a year in prison.""",Liquid Death,true
140,"Sen. Marco Rubio ""helped write the law to raise prescription prices.""",Val Demings,mostly-true
141,“DISGRUNTLED EX-EMPLOYEE? Twitter CEO Elon Musk's account is presently suspended.”,Instagram posts,pants-fire
142,“There are no greenhouse gas emissions in this photo” of cows grazing.,Instagram posts,false
143,California’s Proposition 1 includes “a right to abortion up-to-birth.”,Instagram posts,barely-true
144,"“So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”",Donald Trump,pants-fire
145,"The United States is ""about to run out of diesel fuel ... by the Monday of Thanksgiving week.""",Tucker Carlson,false
146,"The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more.",Kathy Hochul,mostly-true
147,"“Kamala Harris said disaster aid should go to non-white citizens first.""",America First Legal,false
148,The attack on Paul Pelosi was a “false flag.”,Instagram posts,pants-fire
149,"Photo shows Stanford scientists' ""3D model of how Joseph, the husband of Mary the Mother of Jesus Christ, might have looked.”",Instagram posts,false
150,"Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”",Ashley Hinson,true
151,"Speaker Nancy Pelosi held a T-shirt that reads, “I’m proud of my gay husband.”",Viral image,pants-fire
152,Brazil’s presidential election was “stolen.”,Instagram posts,false
153,Former President Jimmy Carter said “don’t ever use” mail in ballots because “they can be so easily corrupted.”,Donald Trump,false
154,The U.S. “could easily count every vote in every state on election night until a few years ago.”,Instagram posts,barely-true
155,“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”,Instagram posts,pants-fire
156,The FBI took over the investigation into the attack on Paul Pelosi because San Francisco authorities weren’t sticking to Nancy Pelosi’s talking points.,Viral image,false
157,"Brazil President Jair Bolsonaro will hold a press conference to “announce military audit of controversial election, may arrest criminal judges.”",Instagram posts,false
158,David Schweikert has “been convicted of 11 House ethics violations.”,Jevin Hodge,true
159,They were “never my comments” that a woman can’t get pregnant from rape.,Yesli Vega,half-true
160,“Two thirds of eligible voters don’t vote.”,Instagram posts,false
161,"Tony Evers “wants to let out between 9,000 and 10,000 more” Wisconsin prisoners",Tim Michels,false
162,“Pennsylvania is under a court order to count their ballots on election day and not after!!”,Facebook posts,pants-fire
163,“Biden and Democrats have dismantled border security.”,Adam Laxalt,false
164,Katie Hobbs “has voted to double our gas tax.”,Kari Lake,mostly-true
165,Reuters reported that Nancy Pelosi bought 10 million shares of cannabis stock.,Viral image,false
166,"It's not true that ""the United States was built on stolen land.""",Ron DeSantis,pants-fire
167,The media reported on “5 TikTok dances you can do to help Ukraine fight Russia.”,Viral image,false
168,“Freedom of Information Act requests show a dozen phone calls between the cell phone of Ray Epps and the office of Speaker Pelosi in the week before #January6th”,Instagram posts,false
169,"""Over 240,000 'unverified' ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”",Donald Trump,false
170,"Australian officials “are giving cows mRNA vaccines.""",Instagram posts,false
171,Thunderous crowd at Philadelphia Phillies game “literally registering on the Penn State University Brandywine seismograph station.”,Tweets,pants-fire
172,CNN reported Donald Trump died on Nov. 1.,Viral image,pants-fire
173,“J.D. Vance said nothing about” the attack on Paul Pelosi.,Tim Ryan,false
174,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",Citizens for Sanity,pants-fire
175,"Says ""Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”",Senate Majority PAC,mostly-true
176,“Smithsonian admits to destruction of thousands of giant human skeletons in early 1900s.”,Viral image,pants-fire
177,“Leaked audio tape of the 911 call from the Paul Pelosi attack has surfaced. The call proves that the liberal media has lied about what really happened.”,Viral image,false
178,"""Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.""",Georgia Gun Owners,pants-fire
179,“We have seen over the last 10 years ... under Republican governors a rise in the murder rate in Arizona of 20%.”,Kris Mayes,barely-true
180,"Abraham Hamadeh says he will “lock up doctors, nurses, pharmacists” and “punish women for abortion.”",Kris Mayes,half-true
181,"Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”",Kari Lake,false
182,Julie Powell died from the COVID-19 vaccine.,Instagram posts,false
183,"""On my watch, for the first time in 10 years, seniors are getting an increase in their Social Security checks.""",Joe Biden,pants-fire
184,"""PayPal has reinstated its policy to fine users $2,500 directly from their accounts if they spread 'misinformation.'""",Instagram posts,false
185,“Two far-right websites attributed to David DePape to smear conservatives were fabricated — they were created Friday.”,Viral image,pants-fire
186,Bill Gates’ daughters aren’t vaccinated.,Viral image,pants-fire
187,"David DePape “stripped down to his underwear, grabbed a hammer, and jogged all the way to Nancy Pelosi’s house.”",Viral image,false
188,House Speaker Nancy Pelosi “doesn’t even have surveillance cameras around her house.”,Viral image,pants-fire
189,"If Proposal 3 passes, it would allow children to undergo ""gender-change therapy without parental consent""",Citizens to Support MI Women & Children,false
190,"At the Pelosi house, “the glass it seems was broken from the inside to the out, so it wasn’t a break-in, it was a breakout.”",Donald Trump,pants-fire
191,“I don’t get involved in the hiring and firing of police chiefs.”,Levar Stoney,false
192,“Marco Rubio le ha votado en contra a los Dreamers”.,Florida Immigrant Coalition,half-true
193,“One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.,Amy Klobuchar,mostly-true
194,Police dispatch audio from Paul Pelosi’s attack was recorded in a Moscow studio.,Instagram posts,pants-fire
195,"Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.""",Liz Cheney,mostly-true
196,"Security cameras at Nancy Pelosi’s San Francisco home malfunctioned “for the duration of the break-in, so officials have ended their investigation.”",Viral image,pants-fire
197,"“If outer space was a vacuum, astronauts would train in vacuum chambers. Not in swimming pools. Outer Space is a hoax.”",Instagram posts,pants-fire
198,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,barely-true
199,"""Don Bolduc wants to cut trillions from Medicare and end Social Security.""",Maggie Hassan,mostly-true
200,Document shows Rebekah Jones “demonstrated” a violation of Florida’s Whistleblower Act.,Rebekah Jones,false
201,"“If you use the US Postal Service certified mail or registered mail, they can do anything they want with those ballots."" They “can burn your mail and they won't get in any trouble.”",Instagram posts,pants-fire
202,A photo shows David DePape filming the Jan. 6 Capitol attack.,Viral image,false
203,"California state Sen. Scott Wiener “doesn’t just want to sterilize California kids, but sterilization of kids everywhere!”",Instagram posts,false
204,Hecklers chanted “f--- Joe Biden” during a Barack Obama speech.,Viral image,false
205,The Pelosis “are refusing to turn over surveillance video of their home.”,Viral image,false
206,"Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021.",Instagram posts,false
207,Video shows “military robots ready for war.”,Viral image,false
208,“All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”,Rick Scott,false
209,"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",Senate Leadership Fund,barely-true
210,"""Kim Reynolds doesn’t think nurses are educated.""",Deidre DeJear,false
211,"""Deidre DeJear refused to stand for police.""",Kim Reynolds,half-true
212,"Says Gov. Tony Evers would, “allow the government to use red flag laws to confiscate your firearms without due process.”",National Rifle Association,barely-true
213,Rep. Tim Ryan “wanted to decriminalize fentanyl.”,J.D. Vance,pants-fire
214,Pennsylvania drop boxes were “pre-loaded” with ballots.,Instagram posts,half-true
215,"Arizona Secretary of State Katie Hobbs “sent 6,000 wrong ballots to Republicans.”",Instagram posts,false
216,McDonald's uses potatoes sprayed with a highly toxic pesticide called Monitor.,Instagram posts,false
217,Facebook changed its name because it is a “dead entity” whose assets were seized.,Viral image,false
218,“Kids are resistant to COVID as opposed to older people.”,Tom Horne,half-true
219,"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",Charlie Crist,barely-true
220,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,barely-true
221,The price of gas is “down from over $5 when I took office.”,Joe Biden,false
222,Blake Masters “wants to privatize” Social Security.,Mark Kelly,barely-true
223,"“It’s not that there is no evidence the election was stolen, but that no court had the guts to HEAR the evidence. They dismissed the cases, NOT the evidence.”",Instagram posts,false
224,Former President Donald Trump issued an Oct. 27 statement saying he was told his Twitter account “will be back up and running on Monday.”,Viral image,false
225,"The documentary “2,000 Mules proves” Democrats “cheated on the 2020 elections.”",Instagram posts,false
226,A Phoenix TV station aired the election results more than a week early.,Instagram posts,half-true
227,"Connecticut ballot initiative on early voting would ""remove the requirement of a certified seal from certain ballots.""",Facebook posts,false
228,DJ Mighty Mouse died because of a COVID-19 booster vaccine.,Instagram posts,false
229,Photo shows a man who tortured his daughter’s rapist.,Viral image,false
230,“PCR tests used to put luciferase in the brain.”,Viral image,false
231,"Catherine Cortez Masto ""was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.",Club for Growth Action,barely-true
232,Proposed Senate bill would give FDA power to approve dietary supplements and “ban herbs.”,Instagram posts,false
233,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",Viral image,false
234,The COVID-19 vaccine caused Katy Perry’s eye to close during a recent show.,Instagram posts,false
235,"“El CDC está a punto de agregar la vacuna Co vid al calendario de vacunación infantil, lo que haría que la vacunación sea obligatoria para que los niños asistan a la escuela”.",Instagram posts,barely-true
236,"""Peer-reviewed paper"" shows ""Fauci created COVID-19""",Instagram posts,pants-fire
237,“Carol Miller is a multi-millionaire worth over $16 million.”,West Virginia Democratic Party,mostly-true
238,Mailing in a ballot “gives the bad guys a chance to know how many ballots they need to make.”,Instagram posts,pants-fire
239,“Ukraine has a nuclear bomb primed in Mykolaiv.”,Instagram posts,false
240,Adam Laxalt is “anti-DACA” and “fought against the protections for DACA recipients when he was attorney general.”,Catherine Cortez Masto,half-true
241,Ballots are “mailed unconstitutionally” to every voter in Colorado.,Instagram posts,false
242,Video clips show staged war footage from Ukraine.,Viral image,pants-fire
243,The Bill & Melinda Gates Foundation pledged $200 million for digital IDs as part of a shift toward a “totalitarian society.”,Dan Bongino,false
244,Today’s high food prices were planned during a 2015 food shortage simulation.,Instagram posts,pants-fire
245,“Eagles fans shout F— Joe Biden while Jill Biden attends NFL game!”,Instagram posts,pants-fire
246,A video shows that a “Nuremberg 2.0 crimes against humanity trial starts Jan 2023.”,Instagram posts,false
247,"Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",Marco Rubio,barely-true
248,Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”,Ted Budd,false
249,"In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”",Instagram posts,pants-fire
250,Student loan forgiveness is “passed. I got it passed by a vote or two. And it’s in effect.”,Joe Biden,false
251,Video shows paratroopers crashing in Uganda.,Instagram posts,false
252,“Wikileaks releases moon landing cut scenes filmed in the Nevada desert.”,Viral image,false
253,"“Nancy Pelosi (purchased) 10,000 shares of Amgen, manufacturer of Nplate, a drug used to treat radiation sickness.”",Instagram posts,false
254,"""When electric cars get in accidents, they explode, they catch fire very very badly because of the lithium batteries.”",Instagram posts,false
255,"For climate change environmentalists, “not a single one of their predictions ever come true.”",Charlie Kirk,false
256,"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",Citizens Against Government Waste,barely-true
257,The diphtheria vaccine is a “poison dart” with side effects worse than the symptoms of diphtheria.,Instagram posts,false
258,Bodybuilder died from the COVID-19 vaccine.,Instagram posts,false
259,"A chyron on Sean Hannity’s show said, “Dr Oz admits he’s a medical quack.”",Viral image,pants-fire
260,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,Viral image,false
261,Ted Budd “on four separate occasions voted against funding for police here in North Carolina to the tune of more than $32 million.”,Cheri Beasley,barely-true
262,There are no photos of “Biden in the Oval Office” from after early 2021.,Viral image,pants-fire
263,"Says Tim Michels ""opposes closing the loophole that allows domestic abusers to buy guns.""",A Better Wisconsin Together,true
264,"New York state is outpacing the rest of the country, because shootings in New York are down 10%, and across the country the drop is only 2%.",Kathy Hochul,half-true
265,Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.,Citizens for Sanity,false
266,“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,Citizens for Sanity,barely-true
267,Immigrants illegally in the country are treated “better than military veterans.”,Blake Masters,false
268,"A House Republican plan says that if the GOP wins the majority, “Retirees who have a pension, IRAs, 401k, disabled veteran benefits will be ineligible for Social Security benefits.”",Instagram posts,pants-fire
269,Volodymyr Zelenskyy was photographed holding a soccer jersey with his name and a swastika.,Viral image,false
270,It’s impossible for colloidal silver to turn you blue.,Viral image,false
271,“Millions” of people from International Monetary Fund member countries are at risk of being placed in “COVID camps.”,Instagram posts,false
272,"If a 12-year-old girl became pregnant because of rape or incest, ""Tim Michels would force her to deliver the baby.""",Tony Evers,mostly-true
273,There were two shooters in the 2017 Las Vegas mass shooting.,Instagram posts,false
274,"Mark Kelly ""voted to allow prison inmates to receive stimulus checks five separate times.""",Saving Arizona PAC,barely-true
275,Haitian singer Mikaben died because of the COVID-19 vaccine,Instagram posts,false
276,"A video shows an actor “getting into character before his press interview less than 24 hours after the supposed killing of his 6-year-old daughter.""",Instagram posts,pants-fire
277,"“The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.”",Tucker Carlson,barely-true
278,"On Oct. 19, Donald Trump tweeted, “Thank you Elon Musk, I’m back!!!”",Viral image,false
279,"There are “100,000 kids in cages” under the Getty art museum.",Viral image,pants-fire
280,“Boston University CREATES a new COVID strain that has an 80% kill rate.”,Instagram posts,half-true
281,Video shows “California sets their own forest fires and claims them as climate change effects.”,Instagram posts,false
282,“Mandela Barnes came out in favor of abortion up until the moment of birth.”,National Republican Senatorial Committee,barely-true
283,An anti-vaccine activist documented intimidation tactics used against her the day before she was killed.,Viral image,false
284,Video shows Hillary Clinton talking about a glass dome over the Earth.,Instagram posts,pants-fire
285,Video shows Dr. Anthony Fauci admitting “he failed Americans during the pandemic when unnecessarily forcing masks.”,Instagram posts,false
286,Photo shows a taxi driver in New York City who “drives around taking people to kill.”,Viral image,pants-fire
287,"""When I was your governor, we reduced insurance rates by 10%.""",Charlie Crist,mostly-true
288,"Electric vehicles are unaffordable because “the average cost of replacing an electric vehicle battery is over $10,000, while the average cost of replacing the battery of a gas-powered car is $100 to $200.”",Debbie Lesko,barely-true
289,Dark spots on potato chips are “infected with throat mold.”,Facebook posts,pants-fire
